epoch, time, loss, acc, val_loss, val_acc
1  , 323s 65ms/step ,  1.6319 ,  0.4303 ,  1.9235 ,  0.3613
2  , 322s 64ms/step ,  1.5774 ,  0.4481 ,  1.9933 ,  0.3624
3  , 321s 64ms/step ,  1.5319 ,  0.4630 ,  2.0373 ,  0.3621
4  , 320s 64ms/step ,  1.4873 ,  0.4777 ,  2.0394 ,  0.3584
5  , 322s 64ms/step ,  1.4462 ,  0.4907 ,  2.1517 ,  0.3596
6  , 322s 64ms/step ,  1.4044 ,  0.5049 ,  2.1242 ,  0.3525
7  , 324s 65ms/step ,  1.3651 ,  0.5186 ,  2.2201 ,  0.3474
8  , 337s 67ms/step ,  1.3276 ,  0.5310 ,  2.2808 ,  0.3457
9  , 333s 67ms/step ,  1.2918 ,  0.5428 ,  2.3197 ,  0.3417
10  , 339s 68ms/step ,  1.2567 ,  0.5552 ,  2.4433 ,  0.3474
