epoch, time, loss, acc, val_loss, val_acc 
1  , 61s 155us/step ,  1.8845 ,  0.3577 ,  2.8022 ,  0.1336
 2  , 43s 108us/step ,  1.7982 ,  0.3981 ,  2.8647 ,  0.1494
 3  , 43s 110us/step ,  1.7442 ,  0.4216 ,  2.7346 ,  0.1672
 4  , 43s 109us/step ,  1.7068 ,  0.4364 ,  2.6367 ,  0.1693
 5  , 43s 109us/step ,  1.6785 ,  0.4467 ,  2.8110 ,  0.1657
 6  , 43s 110us/step ,  1.6511 ,  0.4571 ,  2.6214 ,  0.1783
 7  , 43s 109us/step ,  1.6316 ,  0.4644 ,  2.7666 ,  0.1834
 8  , 43s 109us/step ,  1.6134 ,  0.4702 ,  2.7354 ,  0.1773
 9  , 43s 109us/step ,  1.5929 ,  0.4774 ,  2.5493 ,  0.1870
 10  , 43s 109us/step ,  1.5797 ,  0.4818 ,  2.5214 ,  0.1954
 11  , 43s 109us/step ,  1.5623 ,  0.4882 ,  2.6905 ,  0.1903
 12  , 43s 109us/step ,  1.5498 ,  0.4925 ,  2.5794 ,  0.1943
 13  , 43s 110us/step ,  1.5359 ,  0.4973 ,  2.5601 ,  0.2112
 14  , 43s 109us/step ,  1.5224 ,  0.5009 ,  2.5590 ,  0.1927
 15  , 43s 109us/step ,  1.5080 ,  0.5065 ,  2.4865 ,  0.1981
 16  , 43s 109us/step ,  1.4976 ,  0.5092 ,  2.4424 ,  0.2217
 17  , 43s 109us/step ,  1.4832 ,  0.5141 ,  2.5148 ,  0.2207
 18  , 43s 109us/step ,  1.4713 ,  0.5184 ,  2.5069 ,  0.2165
 19  , 43s 109us/step ,  1.4604 ,  0.5224 ,  2.6422 ,  0.2100
 20  , 43s 109us/step ,  1.4487 ,  0.5254 ,  2.4837 ,  0.2314
 21  , 43s 109us/step ,  1.4346 ,  0.5310 ,  2.5904 ,  0.2173
 22  , 43s 109us/step ,  1.4240 ,  0.5341 ,  2.4738 ,  0.2287
 23  , 43s 109us/step ,  1.4133 ,  0.5373 ,  2.4755 ,  0.2327
 24  , 43s 109us/step ,  1.4028 ,  0.5405 ,  2.4882 ,  0.2205
 25  , 43s 109us/step ,  1.3905 ,  0.5446 ,  2.6145 ,  0.2236
 26  , 43s 109us/step ,  1.3766 ,  0.5488 ,  2.7178 ,  0.2243
 27  , 43s 109us/step ,  1.3695 ,  0.5507 ,  2.5584 ,  0.2236
 28  , 43s 110us/step ,  1.3558 ,  0.5560 ,  2.4959 ,  0.2241
 29  , 43s 109us/step ,  1.3439 ,  0.5593 ,  2.5829 ,  0.2390
 30  , 43s 109us/step ,  1.3347 ,  0.5625 ,  2.5600 ,  0.2384
 31  , 43s 109us/step ,  1.3205 ,  0.5670 ,  2.4439 ,  0.2515
 32  , 43s 109us/step ,  1.3117 ,  0.5698 ,  2.5662 ,  0.2380
 33  , 43s 109us/step ,  1.2970 ,  0.5743 ,  2.4848 ,  0.2430
 34  , 43s 109us/step ,  1.2874 ,  0.5778 ,  2.5703 ,  0.2289
 35  , 43s 109us/step ,  1.2753 ,  0.5810 ,  2.6388 ,  0.2390
 36  , 43s 109us/step ,  1.2613 ,  0.5856 ,  2.5108 ,  0.2393
 37  , 43s 110us/step ,  1.2504 ,  0.5892 ,  2.6579 ,  0.2314
 38  , 43s 110us/step ,  1.2389 ,  0.5923 ,  2.6198 ,  0.2504
 39  , 43s 110us/step ,  1.2245 ,  0.5975 ,  2.6337 ,  0.2489
 40  , 43s 109us/step ,  1.2136 ,  0.6012 ,  2.4315 ,  0.2534
 41  , 43s 110us/step ,  1.2015 ,  0.6045 ,  2.8400 ,  0.2327
 42  , 43s 110us/step ,  1.1885 ,  0.6085 ,  2.7743 ,  0.2416
 43  , 43s 110us/step ,  1.1755 ,  0.6128 ,  2.7104 ,  0.2540
 44  , 43s 110us/step ,  1.1624 ,  0.6173 ,  2.4689 ,  0.2608
 45  , 43s 110us/step ,  1.1525 ,  0.6192 ,  2.7853 ,  0.2426
 46  , 43s 109us/step ,  1.1395 ,  0.6245 ,  2.8610 ,  0.2420
 47  , 43s 110us/step ,  1.1254 ,  0.6284 ,  2.8171 ,  0.2443
 48  , 43s 110us/step ,  1.1141 ,  0.6325 ,  2.7268 ,  0.2502
 49  , 43s 110us/step ,  1.1006 ,  0.6370 ,  2.7824 ,  0.2523
 50  , 43s 110us/step ,  1.0891 ,  0.6397 ,  2.7329 ,  0.2515
 51  , 43s 109us/step ,  1.0764 ,  0.6441 ,  2.7996 ,  0.2538
 52  , 43s 110us/step ,  1.0643 ,  0.6483 ,  2.7123 ,  0.2633
 53  , 43s 109us/step ,  1.0516 ,  0.6520 ,  2.8428 ,  0.2559
 54  , 43s 109us/step ,  1.0405 ,  0.6550 ,  2.9615 ,  0.2538
 55  , 43s 109us/step ,  1.0260 ,  0.6595 ,  2.6081 ,  0.2656
 56  , 43s 109us/step ,  1.0166 ,  0.6619 ,  2.8351 ,  0.2458
 57  , 43s 109us/step ,  1.0039 ,  0.6657 ,  3.0408 ,  0.2492
 58  , 43s 109us/step ,  0.9922 ,  0.6695 ,  2.7922 ,  0.2624
 59  , 43s 109us/step ,  0.9775 ,  0.6747 ,  2.8509 ,  0.2576
 60  , 43s 109us/step ,  0.9694 ,  0.6765 ,  2.7663 ,  0.2635
 61  , 43s 109us/step ,  0.9561 ,  0.6820 ,  2.7803 ,  0.2688
 62  , 43s 109us/step ,  0.9432 ,  0.6847 ,  3.0734 ,  0.2473
 63  , 43s 109us/step ,  0.9352 ,  0.6869 ,  2.7916 ,  0.2603
 64  , 43s 109us/step ,  0.9245 ,  0.6903 ,  2.9600 ,  0.2473
 65  , 43s 109us/step ,  0.9099 ,  0.6957 ,  3.1137 ,  0.2589
 66  , 43s 109us/step ,  0.8999 ,  0.6989 ,  2.8407 ,  0.2627
 67  , 43s 109us/step ,  0.8860 ,  0.7024 ,  2.9868 ,  0.2643
 68  , 43s 109us/step ,  0.8793 ,  0.7052 ,  2.8483 ,  0.2627
 69  , 43s 109us/step ,  0.8671 ,  0.7082 ,  2.9664 ,  0.2675
 70  , 43s 109us/step ,  0.8580 ,  0.7113 ,  3.1612 ,  0.2664
 71  , 43s 109us/step ,  0.8470 ,  0.7140 ,  3.3152 ,  0.2578
 72  , 43s 109us/step ,  0.8361 ,  0.7181 ,  3.1219 ,  0.2627
 73  , 43s 109us/step ,  0.8250 ,  0.7210 ,  3.3796 ,  0.2508
 74  , 43s 109us/step ,  0.8185 ,  0.7226 ,  3.6962 ,  0.2468
 75  , 43s 109us/step ,  0.8029 ,  0.7284 ,  3.2628 ,  0.2605
 76  , 43s 109us/step ,  0.7956 ,  0.7306 ,  3.3102 ,  0.2464
 77  , 43s 109us/step ,  0.7864 ,  0.7330 ,  3.1454 ,  0.2694
 78  , 43s 109us/step ,  0.7763 ,  0.7357 ,  3.0432 ,  0.2645
 79  , 43s 109us/step ,  0.7688 ,  0.7386 ,  3.3341 ,  0.2597
 80  , 43s 109us/step ,  0.7575 ,  0.7421 ,  3.3548 ,  0.2568
 81  , 43s 109us/step ,  0.7481 ,  0.7448 ,  3.4552 ,  0.2607
 82  , 43s 109us/step ,  0.7387 ,  0.7482 ,  3.3258 ,  0.2582
 83  , 43s 109us/step ,  0.7313 ,  0.7499 ,  3.5225 ,  0.2544
 84  , 43s 109us/step ,  0.7231 ,  0.7529 ,  3.3710 ,  0.2553
 85  , 43s 110us/step ,  0.7106 ,  0.7569 ,  3.4570 ,  0.2555
 86  , 43s 109us/step ,  0.7087 ,  0.7561 ,  3.9610 ,  0.2601
 87  , 43s 109us/step ,  0.6926 ,  0.7618 ,  3.9487 ,  0.2500
 88  , 43s 110us/step ,  0.6862 ,  0.7644 ,  4.0378 ,  0.2589
 89  , 43s 110us/step ,  0.6816 ,  0.7659 ,  4.0388 ,  0.2546
 90  , 43s 110us/step ,  0.6726 ,  0.7684 ,  4.1656 ,  0.2510
 91  , 43s 110us/step ,  0.6623 ,  0.7716 ,  3.7614 ,  0.2534
 92  , 43s 109us/step ,  0.6558 ,  0.7735 ,  3.7950 ,  0.2685
 93  , 43s 110us/step ,  0.6473 ,  0.7759 ,  4.1045 ,  0.2441
 94  , 43s 109us/step ,  0.6444 ,  0.7771 ,  4.0238 ,  0.2570
 95  , 43s 110us/step ,  0.6335 ,  0.7807 ,  3.4280 ,  0.2626
 96  , 43s 110us/step ,  0.6211 ,  0.7849 ,  3.7480 ,  0.2627
 97  , 43s 110us/step ,  0.6229 ,  0.7837 ,  3.9700 ,  0.2702
 98  , 43s 109us/step ,  0.6134 ,  0.7879 ,  3.8542 ,  0.2643
 99  , 43s 110us/step ,  0.6044 ,  0.7902 ,  3.9256 ,  0.2614
 100  , 43s 110us/step ,  0.5963 ,  0.7926 ,  4.5108 ,  0.2506
